anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2023,7,25,1.7,21.3,25.9,29.2,52.0,67.0,83.0,13.0,73.0,50.0,14027.0,1000.6
2023,7,26,2.8,18.8,21.7,26.1,35.0,58.0,73.0,32.0,72.0,22.0,18708.0,1007.3
2023,7,27,0.0,18.4,22.2,24.8,34.0,46.0,57.0,12.0,46.0,86.0,29243.0,1014.1
2023,7,28,0.0,20.7,24.0,26.0,49.0,64.0,74.0,10.0,27.0,324.0,27092.0,1012.4
2023,7,29,0.0,23.3,25.4,26.8,52.0,68.0,75.0,7.0,15.0,349.0,25331.0,1012.0
2023,7,30,16.1,20.1,24.8,26.7,58.0,68.0,87.0,13.0,75.0,345.0,25289.0,1010.9
2023,7,31,0.0,24.2,26.5,29.1,43.0,61.0,71.0,11.0,32.0,106.0,25044.0,1010.8
2023,8,1,9.8,20.3,24.9,28.3,49.0,66.0,82.0,15.0,65.0,352.0,16931.0,1004.3
2023,8,2,6.6,19.8,24.5,27.2,55.0,67.0,82.0,11.0,68.0,72.0,24821.0,1005.8
2023,8,3,0.6,24.8,27.3,30.7,51.0,67.0,77.0,15.0,45.0,155.0,8750.0,1005.0
2023,8,4,53.6,19.2,22.7,27.3,70.0,78.0,89.0,23.0,76.0,64.0,4834.0,1006.4
2023,8,5,5.2,18.9,21.1,23.5,59.0,71.0,87.0,17.0,75.0,68.0,8076.0,1003.9
2023,8,6,5.3,16.7,20.2,24.1,54.0,68.0,83.0,11.0,66.0,42.0,12828.0,1005.3
2023,8,7,0.3,17.8,21.5,25.2,31.0,53.0,67.0,10.0,40.0,18.0,28310.0,1011.2
2023,8,8,0.0,18.9,22.3,24.5,33.0,52.0,70.0,9.0,30.0,118.0,24515.0,1016.4
2023,8,9,0.0,19.7,23.0,25.8,28.0,56.0,71.0,6.0,23.0,81.0,19851.0,1015.3
2023,8,10,0.0,21.1,24.3,27.5,33.0,51.0,65.0,16.0,49.0,81.0,24645.0,1017.7
2023,8,11,0.0,22.0,24.5,27.3,42.0,60.0,73.0,11.0,27.0,109.0,27017.0,1020.6
